Page,IP Address,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/symptoms-landing-page/,73.131.117.35,10,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,73.147.52.48,10,1,0:00:44,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,75.58.42.195,10,1,0:00:10,0,0.00%,0.00%,$0.00 
/,172.56.30.114,9,4,0:04:45,4,50.00%,33.33%,$0.00 
/treatments/,71.214.48.85,9,1,0:00:11,0,0.00%,0.00%,$0.00 
/,174.211.129.240,8,1,0:00:14,1,0.00%,12.50%,$0.00 
/symptoms-landing-page/,107.207.246.122,8,1,0:00:09,0,0.00%,12.50%,$0.00 
/symptoms-landing-page/,172.58.139.108,8,1,0:00:09,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,47.226.30.185,8,1,0:00:09,0,0.00%,12.50%,$0.00 
/symptoms-landing-page/,67.213.236.220,8,1,0:00:14,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,97.102.31.226,8,1,0:00:09,0,0.00%,0.00%,$0.00 
/treatments/,71.12.154.101,8,1,0:00:10,0,0.00%,0.00%,$0.00 
/treatments/,71.47.70.149,8,1,0:00:16,0,0.00%,0.00%,$0.00 
/,73.248.196.67,7,2,0:00:24,2,0.00%,28.57%,$0.00 
/symptoms-landing-page/,140.186.252.50,7,1,0:00:11,0,0.00%,0.00%,$0.00 
/symptoms-landing-page/,67.184.189.126,7,1,0:00:13,0,0.00%,0.00%,$0.00 
/,107.204.168.21,6,1,0:01:30,1,0.00%,16.67%,$0.00 
/,54.201.37.197,6,3,0:00:07,3,0.00%,0.00%,$0.00 
/am-i-in-menopause/,47.26.135.230,6,1,0:01:01,0,0.00%,0.00%,$0.00 
/hot-flashes/,73.37.13.59,6,1,0:00:09,0,0.00%,16.67%,$0.00 
/symptoms-landing-page/,136.34.91.100,6,1,0:00:15,0,0.00%,0.00%,$0.00 
